sample_id,HALLMARK_GLYCOLYSIS,HALLMARK_OXIDATIVE_PHOSPHORYLATION,delta,label,HK2
499d7906-265e-4836-b2b5-55203bf08e2d,0.8692694341237661,1.2361937070424782,-0.3669242729187121,Mixed,104.7298
49ddcd56-df4a-4136-a743-c21bb6bfd8a6,0.8639248381895046,1.2296258726760123,-0.3657010344865077,Mixed,27.1102
4a0d03ae-65be-4168-89c9-0a756f0e47fc,0.9270387164240556,1.314764253154243,-0.3877255367301874,Mixed,32.5772
4a29721a-1de3-4e14-b905-f39aacb1bd53,0.8634501260081187,1.2360147554830454,-0.37256462947492675,Mixed,55.9369
4a2da9f0-b75d-466c-b9f0-2e910ee24365,0.832302031862133,1.3896955972000842,-0.5573935653379511,Oxidative,11.6144
4a63eb90-d580-40d0-9136-a7baf34d3627,0.875059683987603,1.3040131296939046,-0.42895344570630156,Mixed,62.7559
4ab7002a-08f8-4187-96cd-8f3183336a5a,0.7671871134085079,1.3987188701601148,-0.6315317567516069,Oxidative,1.6068
4ab781c9-0569-4b74-b233-a8d898392f66,0.7873211585509164,1.1853511917034008,-0.3980300331524843,Mixed,39.7549
4b2c1bf1-9a07-4b71-8a9a-c60c9564b686,0.9829658074217881,1.2650972046813227,-0.2821313972595346,Mixed,52.9175
4b758e7e-870c-4b60-8cb6-dac730bd9faf,0.8394047358574078,1.2118280268899853,-0.37242329103257743,Mixed,17.3708
4b881bd7-355b-4b47-8c00-41734f8e01d2,0.8913283322764047,1.273776093900357,-0.38244776162395233,Mixed,77.1574
4bc67f13-2c7c-4be8-8bfe-1c2fffecf694,0.8619008702430945,1.3708139019979957,-0.5089130317549012,Oxidative,38.3872
4caac446-75ef-4e21-ab99-216a5962f956,0.8610718160467996,1.2124484708529137,-0.35137665480611413,Mixed,17.4145
4cc1c81c-7e39-4d3a-a142-3f64698d6c24,0.921881046064107,1.2877732686380012,-0.3658922225738942,Mixed,74.5449
4d4db765-51e5-4549-a559-114bae985a88,0.8216172077131308,1.2801379769759131,-0.4585207692627823,Mixed,24.0265
4d6e5f5f-ab63-49a6-9a53-a89b7ef76783,0.7580221819340595,1.2768383007201227,-0.5188161187860633,Oxidative,4.7105
4d986c3f-bde2-4e66-836d-30b701d0781c,0.8309255445492526,1.2069861346184794,-0.37606059006922676,Mixed,46.3116
4d9d7601-1c03-422d-8dc1-1857593c49a5,1.006241371800158,1.2572730515242472,-0.25103167972408924,Mixed,161.5646
4dcd0f2b-a6c0-4732-92eb-37a593afd93a,0.9029386303022733,1.2563604974078946,-0.3534218671056213,Mixed,35.3286
4e760e7b-84cb-42ea-9ea9-259abe362af3,0.8608352626532509,1.2697461163554762,-0.40891085370222524,Mixed,54.264
4ea0bf83-1d7e-41da-a34d-221add8155b2,0.7965552905791499,1.2038390009467983,-0.40728371036764843,Mixed,12.8159
4f836d31-425e-43d4-8052-5e4a1d770efd,0.8651945473494058,1.2117670471325965,-0.3465724997831907,Mixed,66.2852
4f8bfa46-5071-4cd4-9626-b91221550dd7,0.9630862249063205,1.2531099253588076,-0.29002370045248715,Mixed,99.5645
4fc55db0-591e-4931-91c3-75d515504117,0.89915283520721,1.2984336071477087,-0.3992807719404987,Mixed,43.9782
5013520a-e7b1-4171-865c-f5a624741432,0.9381980686522624,1.3435922050114595,-0.4053941363591971,Mixed,126.5723
5030b65c-c5f2-4bb8-afb6-1bd4c5b1abd4,0.9566196096181748,1.2258199946602306,-0.2692003850420558,Mixed,140.1533
512aef07-f542-4aa6-b3e6-8f74ae1ce224,0.8906489798393915,1.268735700335264,-0.37808672049587244,Mixed,31.5753
51a2c5e1-ba04-4178-a5b0-0ac50c870c4e,0.9180644007592144,1.2985360954441543,-0.3804716946849399,Mixed,65.5746
51a84b87-eddd-40a9-ad8a-46f3682b9318,0.9164297821211833,1.2358496000373196,-0.3194198179161363,Mixed,34.8197
52258ebc-d3ba-4795-83c9-6457386fea2b,0.8737531273448824,1.2876664770178359,-0.41391334967295346,Mixed,27.8164
5226aa23-2d1c-4b1a-b967-e473b0ea042a,0.8500280467457139,1.2567818195371667,-0.40675377279145286,Mixed,43.9073
52433ea4-d6cc-4d21-a1af-d62c3e9c5d77,0.9215844274479568,1.2659805719677621,-0.3443961445198054,Mixed,35.8257
52f4db86-9951-464d-a9c2-520a3681a9a8,0.8704482834077241,1.2941117949011978,-0.4236635114934737,Mixed,85.8952
539f5a17-442a-4c07-9606-b8f88c731504,0.6642037562665559,1.4629605361887337,-0.7987567799221778,Oxidative,0.1983
53a4f1ae-7669-4580-b054-0a5b58e76520,0.8666689113544602,1.1904971067395471,-0.3238281953850869,Mixed,58.0501
5474fa69-b83c-44b9-8e1b-1b16406a42ed,0.9169354645824225,1.2485208095529468,-0.3315853449705243,Mixed,41.0331
54813ceb-f5c7-4c62-8b0a-047145bb6bae,0.8048344034535717,1.1479893532418064,-0.3431549497882347,Mixed,34.8878
54bccab4-c77e-4848-b698-b62941d96289,0.8456778421525681,1.2583647299416805,-0.41268688778911233,Mixed,74.4172
